gene_id	log2FoldChange
Per3	1.391140223
Dbp	2.033042235
Pydc4	1.642557945
Arntl	-1.254765304
Trp53i11	-1.016738431
Npas2	-1.994743181
Cdr2	-1.051018257
Irs1	1.129782425
Cdkn1a	-1.548470537
Bhlhe41	1.167082252
Bcl2l1	-0.909862271
Rgma	1.009465778
Bahcc1	0.921461457
P2ry2	-0.978275622
Ddit4	-1.054644905
Tmem252	-1.671687489
Nedd9	-1.104718131
Litaf	-0.832164821
Tef	0.799023776
Fign	1.140444511
Nr1d2	0.766535602
Zfp703	0.821516126
Cd83	-1.054887243
Nr1d1	1.0014003
Ctps	-0.937759963
Alox12	1.228186645
Sgms1	-1.0363986
Ciart	1.042482685
Fam13a	1.357016737
Dpep2	-1.591290827
Arhgef37	-1.130259047
Irak2	-0.792116339
Tph2	-2.983127073
Myo5c	1.302894748
Rgs1	-1.936224361
Smad6	-0.745683441
Cfd	1.290650217
Ccdc170	1.373161986
Txlnb	0.912188843
Slc5a6	0.767080077
Errfi1	-0.973401531
E2f2	-1.073914316
Hpd	1.794158969
Maff	-1.282701583
Epha2	-0.898684533
Slc7a1	-0.913954671
Plod2	-1.324036417
Myo1g	-1.061254544
Stac	0.887422591
Acad10	0.749604393
Tst	0.941058439
Dtx4	-0.77132651
Cd300ld	-1.073240137
Itga6	-0.722572462
Shisa6	1.609992462
Ifitm6	-1.661692172
F10	-1.296212251
Fbxo31	0.706843725
Slc9a4	-2.48892904
Kcnj11	1.083449955
Mgat4a	-0.708573029
Dchs1	-0.74227478
Pgf	-1.471128076
Matk	-1.467143156
Apol9a	2.252210274
Vamp1	0.870815349
Cry2	0.691051282
Vash1	-0.709109375
Tsc22d3	-0.659306187
LOC102639543	1.99266829
Sh2d4a	0.859847539
Lnx1	-0.692178754
Lhx8	1.388624741
Phactr4	-0.656065855
Kcna2	0.743441828
Ear2	-1.978456049
Usp2	0.863716345
H2-DMb1	-0.929260499
Rapgef5	-0.675293273
Pilra	-1.281439678
Foxq1	3.662641977
Spry1	-0.657685535
Zic1	0.922627827
Gja4	0.722142998
Adamts9	-0.706091938
Noct	-1.050310264
Csgalnact1	-0.823013889
Skil	-0.691950449
Snrk	-0.777216366
Ctnnbip1	-0.634292649
Il2ra	0.988895931
Csf2ra	-0.775705327
Slc45a4	0.776203562
Kif23	-1.064185392
Ppm1k	0.747306209
Car11	0.86364219
Strip2	1.091417093
Pclo	1.032763078
Mest	-1.130442835
Daglb	-0.736845281
Zdhhc23	1.677999869
Ank1	1.080959276
Neil3	-2.10030301
Bcl2a1b	-1.232188137
Kras	-0.677979947
Retnla	-1.966424589
Mgl2	-0.714439991
Dusp16	-0.657098061
Gm12250	1.244712342
Atf4	-0.630944095
Lrrc14b	0.934478005
Serpine1	-1.681097874
Fst	1.393677425
Fam102a	-0.830942376
Sphk1	-1.127838985
Atp6v0d2	-1.83225763
Pvr	-0.664507072
Igsf6	-1.018651329
Atoh8	-0.838909703
Zfp521	-0.816178013
Naa16	-0.740912786
Pprc1	-0.664407424
Cttnbp2nl	-0.813396684
Nop58	-0.649364306
44256	-0.929037178
Esr1	0.784071633
Plekhg1	-0.620531358
Glul	0.636314187
Pcdh18	0.812811928
Olfr558	0.762972084
Ccl17	-2.2533484
Gin1	0.725612459
Rtp4	1.002653424
Stat1	0.854825752
Aqp11	0.992686504
Cerk	-0.659325488
Itgax	-1.893221195
Hook1	1.554322823
Slc1a1	-0.625120232
Apln	-1.209862152
Matn4	1.446476651
Plag1	0.859446985
Tubb2a	-0.593769696
Arhgap25	-0.695559216
Rassf6	1.058353185
Stab1	-0.592392821
Tyrobp	-0.955663571
Irf8	-0.694533733
Cyth4	-0.884899088
Dhtkd1	0.881597117
Btc	1.135556086
Mettl20	0.764771069
Fam117b	-1.244767102
Mthfr	-0.780236002
Kirrel3	-0.79578217
Osgin1	-0.961431725
Dusp8	-0.934280469
Xaf1	0.701468558
Cebpd	-0.811048655
Fam131c	1.228662636
Lgals3bp	1.149270376
Zbp1	1.208624945
Mafk	-0.605397994
Gprin3	0.888584649
Ano1	1.009878189
Ifi27l2a	0.679656094
Gsta3	-1.122481024
Tes	-0.668569032
Ppp1r13l	-0.668120867
Mki67	-1.201728745
C1qa	-0.597087756
Diras2	-1.767944434
Sox10	0.927185797
Proser2	0.818240801
Bcl7a	0.601810267
Csf1r	-0.828759053
Dusp26	0.63723948
Zc3h6	0.733058954
LOC102633345	1.063895821
Cilp	-1.522680806
Slc10a6	-0.887207403
Slc1a3	0.844789266
Vsig8	-3.167590933
Cd34	-0.695178999
Erbb3	1.125462866
Prodh	0.612018888
Ikzf2	0.945044403
Tagap	-1.161847894
Syk	-0.998221699
Acer2	-0.692507376
Cyp1a1	2.23073953
Sema3f	-0.663694421
Tesc	0.676957326
Tanc2	-0.599546289
Aplnr	0.689918205
Fosl2	-0.741394827
Plxna2	-0.856238416
Pydc3	0.887384712
Mmp12	-2.723685915
Elf4	-0.59203135
Lpin3	-0.636205232
Wipf3	0.705129107
Susd5	0.948694923
Scn4b	0.935836649
Slfn8	0.867393437
Thbs1	-0.894399571
Zyg11a	1.474156667
Rnf152	0.831272349
Ncf4	-0.834765851
Lyz1	-2.445121147
Cd27	1.744727765
Met	0.640383963
Sla	-0.979941337
Cd52	-0.964117617
Ninl	0.986805791
Gm33153	4.839712165
Tnfaip8l2	-0.810116076
Pard6b	0.866586002
Cfap161	1.046846024
8430408G22Rik	-1.377818869
Oas1g	1.132777503
Fdft1	0.781866478
Ptgfrn	-0.612640324
Ocstamp	-1.391317891
Bcat2	0.593477064
Sowaha	1.748534718
Vnn3	0.876871211
Pfkm	0.584586146
Ednrb	-0.623726577
Lrrc4	1.690805681
Tnip3	-1.852736118
Gm3248	-2.066322144
Ncf2	-0.882056515
Fcrls	-0.913638621
Arhgap20	-1.032517706
Ctgf	-0.95520059
Fam228a	1.405525115
Zbtb8a	0.755297168
Stc1	-0.671975132
Cacna1d	-1.142926501
Gm3696	-3.318684813
Lhfpl2	-0.738464403
Gsap	-0.747449556
Spty2d1	-0.605991592
Fam131a	-0.655696495
Brip1	-1.234650374
Cd74	-0.675467703
Cyp2e1	1.862735897
Prob1	0.825055682
Pcdh19	-0.592815038
Mrc1	-0.738266662
C1qtnf6	-0.837612198
Renbp	-0.638036373
Hoxa9	2.722061846
Il7r	-1.550045694
Prr5	-0.588450623
Fbxo32	0.596043935
Gzmb	1.624561989
Baz1a	-0.605265526
Usp18	1.061898984
Pfkfb1	0.710191164
Stap1	-0.993756241
Cldn5	-0.96648292
Nrip2	0.619966737
Ankdd1a	-1.901873288
Bub1b	-0.770169543
Ncam1	0.729163498
Ddt	0.598839384
Sptlc3	1.935887098
2010300C02Rik	-1.169823018
Zfhx4	0.793701469
Fxyd2	-0.811169827
Spon2	-0.755535097
Ms4a14	-0.974944065
Gbp3	0.961094348
Cyp4f18	-0.91202778
Slc9a9	-0.742055658
Blnk	-1.054562262
Vdr	-1.33975627
Gm4951	1.204305886
Galnt9	-2.200672531
Esrp2	1.206858191
Olfr1396	0.870919668
Bcl2a1d	-1.63341806
Fam110a	0.691050954
Bpifb6	-2.483583599
Cd200r3	-4.132515474
Cep112	-0.892498167
Tec	-0.957253095
Rragd	0.787284559
Gbp5	0.854974071
Mark1	0.615673785
Meox1	-0.768709553
Slc2a6	-1.135380007
Irf4	0.61736798
Cd200r4	-1.709982904
Eva1c	-0.71961307
Skida1	0.835315588
Pirb	-0.885086904
Lrrc8c	-0.695233378
Fanci	-1.382922608
Nfil3	-0.799724762
Slc25a13	-1.185045517
Ednra	0.612386447
Map7d2	1.42344769
Pcsk4	0.606857934
Il10ra	-0.627883047
Vegfa	0.771083444
H2-DMa	-0.677903955
Slc39a6	-0.652412191
Dach1	-0.614377635
Fbxo40	1.274121876
Ptpro	-0.935883977
Klhl38	1.827694455
Rps6kl1	-0.829034571
Dhx58	0.810017892
Slc43a1	1.111187174
Isg15	1.001976385
Trim29	-2.548770266
Lrrc8b	-0.585401628
Fam161b	0.702309378
LOC108167440	0.980458382
Clec4b1	-0.953772689
Bub1	-1.56864631
Lilra6	-1.370779972
Fancd2	-1.334640325
Lrrc25	-0.971423301
Ubtd2	-0.628738874
Oxtr	-1.087089291
F7	-1.699408775
S1pr1	-0.580358195
Asxl3	-0.794269896
Slc15a2	-1.566229753
Atoh1	2.726473509
Cep126	0.754188299
Nr4a3	-1.006534248
Krt10	0.818419926
Tnc	-1.174764904
Anxa3	-0.591709417
Thsd7a	-0.615016461
Atf3	-1.351648925
Tubb6	-0.679745322
Fam111a	-0.683656875
Tgfb2	0.760850337
Inpp4b	0.617767137
Map4k1	-0.779010449
Lbp	-0.777191664
Orm3	0.689390311
Tmem53	0.60455956
Rnf122	0.591959198
Aph1c	-0.806988147
Anln	-0.844416761
D17H6S56E-5	-0.679328623
Akap12	-0.641655603
Tll1	-0.893514466
Slc44a5	-1.085107625
Naip6	-0.877095591
Grip1	1.689415625
Bbs10	0.688875956
Emb	-0.828452741
Apol9b	1.190858613
AA467197	-1.276326172
Nlrp1a	-1.935260772
P2ry6	-0.908968191
Itpka	1.04573333
Iqsec3	0.704185576
Unc79	-1.296930758
Fgfr3	-0.640967534
Foxd3	1.186922063
Angpt2	-0.888873085
Fcgr2b	-0.707642725
Cys1	0.774363175
Lrrc3b	0.680220135
Ipcef1	-1.380675602
Iqgap3	-1.352198481
Slitrk6	1.364838804
Aldh1a2	-1.697853637
Acsm3	0.807360068
Tubb2b	-0.820885539
Fam134b	0.763198905
Ctla2b	-0.686464958
Cd300a	-1.049587646
Duoxa1	-1.477772789
Slco4a1	1.028958911
Kif2c	-1.445291808
Ticam2	-1.24972771
Gzma	1.671384798
Gm42368	-1.675432849
Gfra1	0.846050289
Arhgap9	-0.758413213
Dhrs9	-0.82533873
Susd3	-0.984097285
C6	-1.829595
Kif22	-0.90868448
Cdc42ep3	-0.704926702
Egr2	-1.569543154
Clec4a2	-1.099607346
Myo1f	-1.034086106
Havcr2	-1.113183272
Adhfe1	0.643038492
Per1	-0.764495255
Lyz2	-1.173255556
Nox4	-0.744132035
Nckap1l	-1.16707541
Tspan2	-0.729593636
Mthfs	0.609273633
Mybpc3	-2.909982335
Mxd3	-1.266460816
Cyba	-0.671837838
Slc6a17	0.820329009
Arhgap15	-0.874121228
H2-Ab1	-0.613293321
Adgre1	-1.034406772
Trpc3	-0.624754416
Ifit3	1.092080724
Acsm5	0.682863118
Sgk1	-1.023295011
Cd274	0.699171853
Gmfg	-0.625882774
Apc2	0.707706133
Fcgr3	-0.883259273
Ifit3b	1.182750965
Apoc3	1.439155719
Ephx3	0.793950571
BC147527	1.064628371
Tlr7	-0.865571441
Ikbke	-0.607472536
Slc25a25	-0.972413426
Lmntd1	-1.740658775
Car14	1.008931269
Ubash3b	-0.793627402
Cish	1.780165309
Gm3636	-1.286676197
Capg	-0.984002253
Gbp6	0.833842339
Mettl21c	2.716508315
Clca2	-0.984970766
Azgp1	2.943363086
Fam71d	-1.707545527
Klhl4	-0.612883346
Prdm1	0.759189602
Gpr65	-0.9512619
Smpd3	-1.355789337
Sh3pxd2b	-0.801424157
Cd86	-0.734685072
Mms22l	-0.828651823
Nfam1	-0.921876892
Dpep3	-1.764656848
Rasl10b	0.959151232
Fcna	-0.706888691
Pld6	1.263949209
Slfn1	1.073449434
Smyd1	0.982366873
Vgll3	-0.614665383
BC024139	1.420240309
Fgf20	4.251600959
Cysltr1	-0.668897301
Ms4a4b	0.99835658
Gm2897	-1.346960457
Cybb	-0.860373476
Ltbp2	0.605021326
Alcam	-1.243545852
Nkg7	1.198422998
Cfh	-0.622456947
Asb2	0.821314728
Slamf8	-1.214590697
Plekha6	0.604223593
Smad7	-0.644130677
Tlr8	-1.190778147
Gadd45g	-1.036019814
Inhba	2.145560797
Ankle1	-1.699000895
Tmem38a	0.902001768
Gprc5a	-0.873763847
Arhgap22	-0.596377083
Gm3667	-2.704876099
Gck	1.390216708
Gm5737	0.704789397
Pdlim3	0.822333728
Gm5741	1.666410424
Mb	1.375439152
S100a4	-1.182819073
Orai2	-0.711348577
Ttc34	3.798943613
Coro1a	-0.685148529
Slc40a1	0.72234296
Lrrn4	1.085721242
Xirp1	0.893260051
Ccl9	-1.502041224
Prkcg	-0.882532835
Bst2	0.862453001
D630003M21Rik	0.891747289
Slc16a3	-0.919896897
Pde4b	-0.601866713
Hsd17b10	0.643164806
Egln3	-0.698145982
Dusp1	-0.926663211
Hey1	-0.655922831
Ptpn22	-0.986504854
Dcstamp	-2.823190167
Arhgap8	-0.658871231
P2ry1	0.95281936
Phf11a	1.203284264
Irgm2	0.642174522
Ccnd1	-0.817214961
Lcp2	-0.655431453
Cacna1b	-0.922283114
Gm38434	-0.898970302
Cyp4f39	-1.743946996
Tbx3	-0.79712218
Jchain	-1.312555826
Rasl11b	0.637916927
Tnfsf10	0.614008674
Slamf9	-0.674613548
Rad51ap1	-0.952433009
Cited2	0.686968066
Vip	-3.261755022
Srebf1	0.581474125
Socs1	0.734267804
Batf3	-0.919133803
4930415F15Rik	1.280114802
P2rx1	0.580538048
Gm7889	1.529226128
Adgrb1	1.427721189
Rasgrf1	1.721269805
Gm39701	-2.359740334
Siglecf	-3.399813563
Pim1	0.669887471
Gadd45b	0.692165507
Podn	0.582465526
AI429214	0.676910016
Rnf212b	1.133609283
Ifi27	0.625438066
Six4	0.976782887
Itgam	-1.361421343
Crip3	2.157339045
Perm1	0.68184035
Fgf21	-1.317793374
Mum1l1	1.337166472
Il21r	0.902400751
Zkscan4	0.745650093
Dzip1l	0.697120419
Slc5a7	-1.754598322
Lgals3	-1.29578967
Knstrn	-0.905348111
Ammecr1	-0.87574907
Plaur	-0.859635295
Cdh9	0.643361537
Fndc5	0.58325059
Cox6b2	0.581933739
Fosl1	-1.300310516
Ly6c2	0.846638651
F830016B08Rik	0.930650305
Fam64a	-0.793997663
Ccl24	-0.715391583
C1qb	-0.699664922
Foxred2	-0.746684087
Des	0.627214972
Rbm24	1.114442992
Acan	1.562267769
Ccdc39	-1.560531422
Pak1	-0.642500639
Klf15	0.708734417
Proz	3.420950438
Slc2a12	0.845482798
Cd3e	1.3015328
Klrb1b	-1.190999123
Hdac9	-0.667648099
Kif1a	0.978806407
1700040L02Rik	0.893562768
Thsd4	0.745112662
Adcy7	-0.766407717
Pitx3	1.654427184
Slc16a6	-0.723456245
Cenpi	-1.347919521
Rnf182	0.913573716
C530008M17Rik	1.137051733
Bcl2a1a	-1.349923115
Phf11b	0.621150958
Cdh6	0.882194561
Gm10406	-2.621514848
Nab2	-0.791528706
Gpr35	-1.019107072
Agt	1.420131068
Pkd2l2	0.625576115
Bsn	-1.420240549
Adamts4	-1.280455295
Gmnn	0.684401424
Fam89a	-0.600618809
Kifc5b	0.800528029
Oas3	1.137176189
Cytip	-0.600081225
F13a1	-0.722308538
Prc1	-1.198520461
Dok2	-0.864783553
Gnal	1.359947513
Adam8	-1.578016811
Slc27a2	0.744811809
Clec14a	-0.684802156
Zfp81	0.597129701
Ptprc	-0.700801968
Sirpa	-0.58677507
Rad51	-1.096770037
Ptpn7	-0.984248836
Cenpf	-1.298642449
Cplx1	2.323546429
Adh7	0.859193152
Serpind1	1.682675398
Gm3500	-1.675421233
Ankrd37	-1.160866223
Itga4	-0.604659106
Clec4a3	-0.786984855
Il13ra1	-0.68918439
Gm5796	-2.073434776
Itgb2	-1.17249691
Plxdc1	-0.585919055
Atp1a3	-1.452470068
Dpysl3	-0.685863988
Irf5	-0.789892908
Gpr20	0.642576367
Slc7a2	0.604186186
Ncf1	-1.154182325
Irf7	0.992065357
Pdia2	1.873955322
Ccl22	-1.221928827
Cth	0.791127799
F3	0.620569438
Cd84	-1.14873544
Laptm5	-0.960560979
Dlk1	0.586163839
Sgol2a	0.710370154
Adamtsl1	0.607825406
Zbtb3	0.691879725
Col5a3	-0.60181157
Plxnb3	0.651956017
Psd4	-0.698717338
Mapk15	-1.758927585
Moxd1	0.871459584
Ccl5	0.827243466
Gdf5	1.058174043
Cyp2f2	2.557134253
Clcf1	-0.601315815
Top2a	-1.086543125
Apol7e	2.033923754
Lilrb4a	-0.878519089
Clec7a	-0.746806003
Tnfsf13	0.858441648
Myh11	0.598249547
LOC101055754	-3.717068281
C1qc	-0.607880756
Cngb1	-0.6420689
Cd44	-1.097853275
Npffr1	0.790621181
Bmp15	-4.375233895
Sik1	-1.147405778
Trem2	-1.194504686
H2-M11	1.898164066
Tex15	1.358449699
Steap4	0.739306147
Mal	0.740847371
Lat2	-1.191335121
Kctd19	0.752319816
Gm3558	-1.482808244
H2-Q2	1.941778103
Nek2	-1.316761592
Dlgap1	0.835922022
Rab17	1.605287448
Cracr2a	-0.919698092
Ccdc159	0.640145357
Cd300lb	-1.066262315
Fzd7	0.652302448
Rimbp3	3.80154318
Cklf	-0.664704602
Mfsd2a	-1.076810074
Ccdc109b	-1.025003282
Lilr4b	-0.866116101
Lrrc29	0.666959047
Ptafr	-1.121922428
Gm34280	-0.973176628
Camk1g	3.403260356
Apold1	-1.505622926
Gbp10	1.24633246
Cdh4	-0.709640965
Nmnat3	0.611526263
Zap70	1.065636604
Plekhg2	-0.59709656
Plekho2	-0.684952967
Cd8a	0.974335449
Gdf11	0.785520048
Rpl39l	0.848734773
Arhgap30	-0.794140168
Marveld2	-0.645349837
D630033O11Rik	-1.228994111
