gene_id	log2FoldChange
5430427O19Rik	0.745828171
A530032D15Rik	0.940593294
Acod1	1.772390646
Acsm3	0.853015073
Adar	0.63367942
Adra1d	0.605213632
Adrb1	0.851890456
Adrb3	0.719092803
Apod	0.784880626
Apol10b	0.705909431
Apol7e	1.165036979
Apol9a	1.59035492
Apol9b	1.484494285
Art2b	1.521604581
B3gnt5	1.084695206
BC035044	0.6466401
BC094916	2.369041544
BC147527	1.693486341
Bank1	0.687515355
Bcl11a	0.738918995
Bcl11b	0.810290828
Bco2	0.800934512
Bst2	1.169235752
Btc	0.87830087
Btla	0.588792603
Cacna1e	0.923437352
Cacna1s	1.341356283
Card11	0.637496596
Ccl12	0.842153545
Ccl24	0.737643513
Ccl5	1.078810875
Ccr5	0.784543401
Cd2	0.891043726
Cd226	0.618031414
Cd27	0.972083631
Cd28	0.763098644
Cd3d	1.083474535
Cd3e	1.104217965
Cd3g	0.88839635
Cd40lg	1.423905768
Cd5	1.036687527
Cd6	0.617626669
Cd69	0.62707715
Cd7	0.893770241
Cd72	0.678092805
Cd79a	0.748004844
Cd79b	0.704755331
Cd8a	1.179353923
Cd8b1	1.197387638
Cfd	1.088091525
Chrdl1	1.066063057
Chrna5	1.315213809
Chst1	0.625013838
Chst8	0.619403539
Cmpk2	1.265694689
Cngb3	2.595029294
Cox7a1	0.645328539
Cpne9	2.789902106
Cr2	1.4384873
Crtam	1.045869192
Cst7	0.842321842
Ctsw	0.820558436
Cxcr3	0.712513178
Cyp26b1	0.592989361
Cysltr2	0.603191196
Dck	0.755081957
Ddx58	0.857152015
Ddx60	0.975614176
Derl3	0.78347958
Dhtkd1	0.663128407
Dhx58	1.302829575
Dmrt2	0.831549743
Dnase1l3	0.945297437
Dtx3l	0.794820688
Eaf2	0.643164949
Eif2ak2	0.662979774
Eomes	1.042334285
Epsti1	1.047539582
F830016B08Rik	1.142522106
Fabp3	2.298239403
Fam13a	0.906203446
Fam169b	0.748326369
Fcgr1	1.157810316
Fcgr4	0.738833007
Fcmr	0.817553804
Fcrla	0.736702878
Folh1	0.669710324
Gbp10	1.299300725
Gbp2	0.621865408
Gbp3	1.326669435
Gbp5	0.703173206
Gbp6	0.912352861
Gbp7	0.695913145
Gcgr	0.875035375
Gimap3	0.691737443
Gimap7	1.286702843
Gm12185	0.657478915
Gm12250	1.646821313
Gm15433	0.978512269
Gm1966	1.051768694
Gm21188	0.585588314
Gm2237	1.485485091
Gm26637	0.950141208
Gm2666	1.276827313
Gm38510	1.138788668
Gm4070	0.944737493
Gm40847	1.663189071
Gm4951	1.510299707
Gm5431	1.177587665
Gm6637	1.577740758
Gm6904	1.313628093
Gm7609	1.052877667
Gm8369	0.944165362
Gpr174	0.902857293
Grap2	0.650175978
Grhl1	0.878703752
Gsto2	0.655072239
Gvin1	0.872809087
Gzma	1.547603778
Gzmb	1.116137144
Gzmk	1.55886627
H2-DMb2	0.670098367
H2-Eb2	0.827621675
H2-Q7	0.650927681
H2-T24	1.352084838
Hap1	0.588968033
Havcr1	1.95394806
Herc6	0.899330736
Hlf	0.680533848
Hmgcs2	0.830337836
Hpd	1.034830531
Hsd11b1	0.78184207
Hsf3	0.82511201
Hsh2d	0.958721138
Ifi203	0.758366774
Ifi204	1.101730906
Ifi35	0.610739435
Ifi44	1.859899821
Ifi47	0.996477829
Ifih1	1.051022841
Ifit1	1.998824674
Ifit1bl1	1.643590156
Ifit1bl2	1.269120257
Ifit2	1.415637486
Ifit3	2.021259512
Ifit3b	1.794871371
Ifitm3	0.798816923
Ifng	1.61348567
Igtp	0.835026048
Ikzf3	0.7174815
Il12rb1	0.645141384
Il21r	0.74301672
Il2rb	0.838621774
Irf7	2.325663694
Irf9	0.798716661
Irgm1	0.860704141
Irgm2	0.93886956
Isg15	1.935109384
Isg20	0.585493538
Itk	0.655808753
Jade3	0.90026194
Kcnt1	1.4027033
Kiss1r	0.8317052
Klra1	1.58719997
Klra4	1.725348125
Klra7	1.063528772
Klra8	1.420856326
Klra9	0.935210985
Klrc1	1.084712038
Klrc3	1.053085915
Klrd1	1.124696058
Klre1	0.813007291
Klrg1	1.157866171
Klri2	1.051378701
Klrk1	0.775293712
LOC101055758	1.014001585
LOC102639543	2.878152617
LOC108167347	1.154963487
LOC108167725	0.769165611
Lck	0.876998117
Lgals3bp	1.012304754
Lgals9	0.926027697
Lhfpl4	0.588154848
Lilra5	0.809799615
Ltb	0.821399416
Ly6c2	1.826970713
Ly6d	1.058341003
Ly6e	0.768655989
Misp	1.077023103
Mnda	1.046633487
Mndal	0.775311063
Ms4a1	1.437624766
Ms4a4b	1.363827252
Ms4a4c	1.450087147
Ms4a6b	0.760613135
Mzb1	1.31133307
Nectin4	0.800492746
Net1	0.583992383
Nkg7	1.079080162
Nnat	0.599633355
Oas1a	1.440195175
Oas1g	1.979407307
Oas2	1.58703703
Oas3	2.819666869
Oasl1	1.631623923
Oasl2	1.847779553
Orm3	1.277118234
P2ry10	0.727304405
P2ry13	0.728744226
Parp14	0.759652808
Parp9	0.640725571
Pck1	0.817632884
Pdcd1	0.857932442
Pdk4	0.793623363
Pglyrp2	0.795390714
Phf11a	1.376489791
Phf11b	1.315330227
Phf11d	1.19275072
Pkd2l2	0.74333928
Plac8	1.127137518
Plagl1	0.65782858
Pnldc1	0.62559016
Pnp2	0.81317865
Pou2af1	0.724553316
Pou3f1	0.695490329
Prf1	1.028630482
Prr5l	0.665375947
Prtn3	0.681187589
Ptprcap	1.031459579
Pvrig	0.917781945
Pxmp2	0.659225411
Pydc3	1.874535956
Pydc4	2.654146988
Pyhin1	2.055475527
Ranbp3l	0.658883771
Rassf6	1.198079054
Retnla	0.805272994
Ripk4	0.831174059
Rnase6	0.689627776
Rnaset2b	0.780525951
Rnf213	0.918632424
Rsad2	0.740792979
