gene_id	log2FoldChange
1700029J07Rik	0.891410387
2210011C24Rik	1.266878614
4933427G17Rik	0.666763908
9230104L09Rik	0.922645619
Aass	1.229845791
Abat	0.770257327
Abca8a	0.593364251
Acad10	0.597020512
Acad12	0.621602462
Acat3	1.272782303
Acsm3	1.237491815
Acss3	0.829832063
Adam3	1.70645314
Adgrg2	1.293266917
Adh7	0.659628646
Adra1d	0.735268935
Adrb1	0.961968444
Adrb3	0.670870495
Agbl3	0.608370395
Agt	0.748013316
Ahcyl2	0.601448327
Ahi1	0.602664351
Akap6	1.013300111
Aldh1a1	0.863268002
Amhr2	0.582671303
Ampd1	3.290278006
Angpt1	0.662818894
Ankef1	0.769207642
Ankrd29	0.768376881
Apcdd1	0.662905631
Apol10b	0.69491187
Apol9a	1.354419974
Apol9b	0.941377662
Asb2	0.713240517
Atp2b2	0.68434452
Avil	0.7758995
BC089597	3.711599349
BC147527	0.729487299
Barx2	1.096794962
Bcas1	0.746617559
Bco1	0.988579426
Bex1	1.318967167
Bmp3	0.794523609
Bmp4	0.703891581
Btc	1.354013875
C1qtnf1	0.662551245
C2	1.240524097
Cabp4	1.004285892
Cacna1e	1.713428565
Cadm2	1.122832298
Calr3	0.711075004
Car1	0.644387804
Car11	0.734808482
Catsperg1	0.965205172
Cbx7	0.676551385
Ccdc152	0.822163159
Ccdc162	0.696291826
Cct6b	0.73842713
Cd28	0.586419026
Cdc20b	3.639925902
Cdh19	0.778469616
Cdh2	0.787582478
Cdh9	1.019279772
Cdkl5	0.919353535
Cetn4	0.787694024
Cfap100	0.938925841
Cfap46	0.980356709
Cfd	1.080285295
Chl1	0.629573385
Chmp4c	1.681456393
Chrdl1	1.871120697
Chrna5	1.5085756
Chst1	0.784970857
Cish	1.716998177
Cited2	1.08962106
Ckm	3.31885211
Cmklr1	0.68029872
Cmpk2	0.58774012
Cnga4	1.186389539
Col4a6	1.255575438
Col9a3	0.783429309
Cox6b2	0.717795831
Cped1	0.666406077
Cpne9	3.426347173
Csmd1	0.929856433
Ctf1	0.874595645
Ctif	0.611756886
Cyp26b1	0.983496794
Cyp27a1	0.641252398
Cyp2f2	0.645377077
Cyp4f39	0.659483113
Cys1	0.932081733
Dcdc2b	0.65599024
Ddx58	0.624637619
Ddx60	0.679368902
Dennd2d	1.197810126
Dgkb	0.722078724
Dgkg	1.156398
Dhtkd1	0.811739076
Dhx58	0.740117138
Dlg2	1.922473337
Dlk1	0.806998631
Dmrt2	0.902171091
Dock11	0.719526189
Dock8	0.908988636
Dtna	1.178455604
Dtx3l	0.879746849
Dusp13	1.059304664
Dzank1	0.638062626
Ebf1	0.714578477
Ebf2	0.885270873
Eci3	0.648741264
Edil3	1.314541883
Eepd1	0.827866273
Efcab2	0.597204283
Efemp1	1.019576093
Efhc2	1.519816009
Ehd3	0.594590841
Eno3	0.639809797
Enox1	0.608788852
Epb41l4b	1.076391263
Ept1	0.585409522
Erbb3	1.06194497
Erbb4	1.109722787
Esr1	1.067667105
Etnppl	1.007638889
F11	0.997978524
Fabp3	0.936338391
Fads1	0.611912551
Fam13a	1.355036163
Fam47e	0.815168413
Fam69c	1.147982585
Fam83g	0.636738063
Fbln5	0.618880835
Fbxo24	0.734929906
Fbxo45	0.639267558
Fcamr	1.340180009
Ffar1	3.673788289
Fgf2	1.002322783
Fign	1.243477238
Fmo5	0.584847531
Fn3k	0.946921382
Folh1	0.62730413
Frzb	1.533435887
Fv1	0.850792877
Fxyd7	0.667631996
Fzd1	0.603130439
Gabrr2	0.712109603
Gata6	0.725205022
Gbp3	0.997223695
Gbp5	0.707497001
Gbp6	0.719848321
Gbp7	0.78295679
Gcgr	0.957000795
Gkn3	0.751550626
Glcci1	0.699700322
Glt8d2	0.828550121
